date,phc_id,medicine_id,quantity_used
2026-03-01,PHC001,MED001,22
2026-03-02,PHC001,MED001,43
2026-03-03,PHC001,MED001,44
2026-03-04,PHC001,MED001,32
2026-03-05,PHC001,MED001,26
2026-03-06,PHC001,MED001,31
2026-03-07,PHC001,MED001,48
2026-03-08,PHC001,MED001,26
2026-03-09,PHC001,MED001,52
2026-03-10,PHC001,MED001,43
2026-03-11,PHC001,MED001,52
2026-03-12,PHC001,MED001,42
2026-03-13,PHC001,MED001,41
2026-03-14,PHC001,MED001,45
2026-03-15,PHC001,MED001,22
2026-03-16,PHC001,MED001,61
2026-03-17,PHC001,MED001,54
2026-03-18,PHC001,MED001,48
2026-03-19,PHC001,MED001,47
2026-03-20,PHC001,MED001,42
2026-03-21,PHC001,MED001,41
2026-03-22,PHC001,MED001,27
2026-03-23,PHC001,MED001,40
2026-03-24,PHC001,MED001,49
2026-03-25,PHC001,MED001,46
2026-03-26,PHC001,MED001,51
2026-03-27,PHC001,MED001,53
2026-03-28,PHC001,MED001,44
2026-03-29,PHC001,MED001,28
2026-03-30,PHC001,MED001,47
2026-03-31,PHC001,MED001,46
2026-04-01,PHC001,MED001,44
2026-04-02,PHC001,MED001,46
2026-04-03,PHC001,MED001,54
2026-04-04,PHC001,MED001,47
2026-04-05,PHC001,MED001,33
2026-04-06,PHC001,MED001,46
2026-04-07,PHC001,MED001,50
2026-04-08,PHC001,MED001,51
2026-04-09,PHC001,MED001,46
2026-04-10,PHC001,MED001,51
2026-04-11,PHC001,MED001,43
2026-04-12,PHC001,MED001,24
2026-04-13,PHC001,MED001,73
2026-04-14,PHC001,MED001,45
2026-04-15,PHC001,MED001,41
2026-04-16,PHC001,MED001,47
2026-04-17,PHC001,MED001,44
2026-04-18,PHC001,MED001,40
2026-04-19,PHC001,MED001,29
2026-04-20,PHC001,MED001,54
2026-04-21,PHC001,MED001,57
2026-04-22,PHC001,MED001,58
2026-04-23,PHC001,MED001,43
2026-04-24,PHC001,MED001,39
2026-04-25,PHC001,MED001,52
2026-04-26,PHC001,MED001,33
2026-04-27,PHC001,MED001,57
2026-04-28,PHC001,MED001,50
2026-04-29,PHC001,MED001,40
2026-04-30,PHC001,MED001,47
2026-05-01,PHC001,MED001,46
2026-05-02,PHC001,MED001,48
2026-05-03,PHC001,MED001,20
2026-05-04,PHC001,MED001,49
2026-05-05,PHC001,MED001,52
2026-05-06,PHC001,MED001,36
2026-05-07,PHC001,MED001,45
2026-05-08,PHC001,MED001,47
2026-05-09,PHC001,MED001,42
2026-05-10,PHC001,MED001,29
2026-05-11,PHC001,MED001,54
2026-05-12,PHC001,MED001,53
2026-05-13,PHC001,MED001,20
2026-05-14,PHC001,MED001,36
2026-05-15,PHC001,MED001,48
2026-05-16,PHC001,MED001,35
2026-05-17,PHC001,MED001,38
2026-05-18,PHC001,MED001,46
2026-05-19,PHC001,MED001,41
2026-05-20,PHC001,MED001,32
2026-05-21,PHC001,MED001,40
2026-05-22,PHC001,MED001,45
2026-05-23,PHC001,MED001,36
2026-05-24,PHC001,MED001,28
